date demand demandChange inventoryPosition orderQuantity
2021-10-11 365 -821 1412 0 
2021-10-12 850 485 562 2403 
2021-10-13 1244 394 1721 0 
2021-10-14 774 -470 947 0 
2021-10-15 819 45 128 2843 
2021-10-16 398 -421 2573 0 
2021-10-17 399 1 2174 0 
2021-10-18 1145 746 1029 0 
2021-10-19 814 -331 215 2755 
2021-10-20 797 -17 2173 0 
2021-10-21 1204 407 969 0 
2021-10-22 796 -408 173 2802 
2021-10-23 446 -350 2529 0 
2021-10-24 827 381 1702 0 
2021-10-25 831 4 871 0 
2021-10-26 691 -140 180 2794 
2021-10-27 1094 403 1880 0 
2021-10-28 1221 127 659 2322 
2021-10-29 774 -447 2207 0 
2021-10-30 810 36 1397 0 
2021-10-31 899 89 498 2485 
2021-11-01 0 -899 2983 0 
2021-11-02 755 755 2228 0 
2021-11-03 775 20 1453 0 
2021-11-04 711 -64 742 0 
2021-11-05 397 -314 345 2630 
2021-11-06 0 -397 2975 0 
2021-11-07 385 385 2590 0 
2021-11-08 394 9 2196 0 
2021-11-09 751 357 1445 0 
2021-11-10 777 26 668 2296 
2021-11-11 425 -352 2539 0 
2021-11-12 745 320 1794 0 
2021-11-13 836 91 958 0 
2021-11-14 1181 345 150 2817 
2021-11-15 776 -405 2191 0 
2021-11-16 828 52 1363 0 
2021-11-17 386 -442 977 0 
2021-11-18 847 461 130 2835 
2021-11-19 0 -847 2965 0 
2021-11-20 0 0 2965 0 
2021-11-21 1213 1213 1752 0 
2021-11-22 409 -804 1343 0 
2021-11-23 1222 813 121 2839 
2021-11-24 1140 -82 1820 0 
2021-11-25 783 -357 1037 0 
2021-11-26 1285 502 172 2795 
2021-11-27 405 -880 2562 0 
2021-11-28 1218 813 1344 0 
2021-11-29 360 -858 984 0 
2021-11-30 1358 998 50 2920 
2021-12-01 397 -961 2573 0 
2021-12-02 820 423 1753 0 
2021-12-03 833 13 920 0 
2021-12-04 817 -16 103 2867 
2021-12-05 434 -383 2536 0 
2021-12-06 371 -63 2165 0 
2021-12-07 380 9 1785 0 
2021-12-08 799 419 986 0 
2021-12-09 390 -409 596 2364 
2021-12-10 820 430 2140 0 
2021-12-11 803 -17 1337 0 
2021-12-12 1167 364 170 2795 
2021-12-13 420 -747 2545 0 
2021-12-14 835 415 1710 0 
2021-12-15 750 -85 960 0 
2021-12-16 844 94 116 2849 
2021-12-17 448 -396 2517 0 
2021-12-18 0 -448 2517 0 
2021-12-19 820 820 1697 0 
2021-12-20 425 -395 1272 0 
2021-12-21 1181 756 91 2869 
2021-12-22 422 -759 2538 0 
2021-12-23 701 279 1837 0 
2021-12-24 765 64 1072 0 
2021-12-25 850 85 222 2736 
2021-12-26 823 -27 2135 0 
