date demand demandChange inventoryPosition leadTime orderQuantity
2021-10-22 2396 -121 9140 48 0 
2021-10-23 2622 226 6518 48 5018 
2021-10-24 0 -2622 6518 0 4972 
2021-10-25 2539 2539 3979 24 7505 
2021-10-26 5396 2857 6088 0 5436 
2021-10-27 0 -5396 11524 0 0 
2021-10-28 2494 2494 9030 0 0 
2021-10-29 5301 2807 3729 24 7782 
2021-10-30 0 -5301 11511 120 0 
2021-10-31 2558 2558 8953 24 0 
2021-11-01 0 -2558 8953 24 0 
2021-11-02 4707 4707 4246 24 7269 
2021-11-03 0 -4707 11515 0 0 
2021-11-04 0 0 11515 72 0 
2021-11-05 5306 5306 6209 144 5382 
2021-11-06 0 -5306 11591 0 0 
2021-11-07 2548 2548 9043 24 0 
2021-11-08 2310 -238 6733 24 4799 
2021-11-09 2575 265 8957 24 0 
2021-11-10 2463 -112 6494 48 5033 
2021-11-11 0 -2463 6494 0 4989 
2021-11-12 2454 2454 9029 24 0 
2021-11-13 2642 188 6387 48 5092 
2021-11-14 2534 -108 8945 24 0 
2021-11-15 0 -2534 8945 24 0 
2021-11-16 2319 2319 6626 48 4802 
2021-11-17 2624 305 8804 0 0 
2021-11-18 0 -2624 8804 48 0 
2021-11-19 2210 2210 6594 24 4785 
2021-11-20 0 -2210 11379 72 0 
2021-11-21 0 0 11379 24 0 
2021-11-22 7442 7442 3937 24 7442 
2021-11-23 0 -7442 11379 24 0 
2021-11-24 0 0 11379 24 0 
2021-11-25 7304 7304 4075 0 7285 
2021-11-26 0 -7304 4075 96 7284 
2021-11-27 0 0 4075 48 7249 
2021-11-28 7183 7183 1588 48 9803 
2021-11-29 0 -7183 11391 24 0 
2021-11-30 0 0 11391 24 0 
2021-12-01 2539 2539 8852 48 0 
2021-12-02 2748 209 6104 48 5210 
2021-12-03 2818 70 8496 24 2817 
2021-12-04 0 -2818 11313 72 0 
2021-12-05 2509 2509 8804 48 0 
2021-12-06 2835 326 5969 24 5322 
2021-12-07 2556 -279 8735 48 0 
2021-12-08 2357 -199 6378 0 4910 
2021-12-09 0 -2357 6378 72 4889 
2021-12-10 2665 2665 3713 24 7551 
2021-12-11 2268 -397 1445 0 9811 
2021-12-12 2745 477 1445 24 9809 
2021-12-13 2828 83 1445 24 9808 
2021-12-14 8045 5217 1445 24 9876 
